mode,year,month,start_station_id,start_station_name,station_lat,station_lng,exposure_trips,crash_count,risk_rate_per_100k_trips,risk_rate_ci_low,risk_rate_ci_high,risk_proxy_available,credibility_flag,exposure_pct,risk_pct,axa_priority_score,prevention_hotspot,product_hotspot,acquisition_hotspot,exposure_index_pct,eb_risk_rate_per_100k_trips,risk_index_pct,expected_incidents_proxy,scoring_strategy
jc,2019,8,3186,Grove St PATH,40.71958611647166,-74.04311746358871,12143,0,0.0,0.0,30.378649873292726,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2019,9,3186,Grove St PATH,40.71958611647166,-74.04311746358871,11830,0,0.0,0.0,31.182412967996072,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2019,10,3186,Grove St PATH,40.71958611647166,-74.04311746358871,11453,0,0.0,0.0,32.20884880916734,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2019,7,3186,Grove St PATH,40.71958611647166,-74.04311746358871,11104,0,0.0,0.0,33.221176640075065,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2023,8,JC115,Grove St PATH,40.71938574445922,-74.043115834076,10987,0,0.0,0.0,33.57494724778316,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2023,7,JC115,Grove St PATH,40.71938292197416,-74.0431226830172,10680,0,0.0,0.0,34.5400697950743,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2025,9,JC115,Grove St PATH,40.71941,-74.04309,10246,0,0.0,0.0,36.003117842220725,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2023,6,JC115,Grove St PATH,40.71937803505453,-74.04310558200784,10202,0,0.0,0.0,36.158394962889,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2025,8,JC115,Grove St PATH,40.71941,-74.04309,10164,0,0.0,0.0,36.29357983189625,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2019,6,3186,Grove St PATH,40.71958611647166,-74.04311746358871,9728,0,0.0,0.0,37.92022465166463,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,2023,10,JC115,Grove St PATH,40.71939672065049,-74.04312422000399,9700,0,0.0,0.0,38.0296850939581,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
