mode,start_station_id,start_station_name,year,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available,data_quality
jc,3183,Exchange Place,2019,11839,5303,6536,11839,40.7162469,-74.0334588,0,0.0,0,yearly
jc,3184,Paulus Hook,2019,19074,9107,9967,19074,40.7141454,-74.0335519,0,0.0,0,yearly
jc,3184,Paulus Hook,2020,15730,7790,7940,15730,40.7141454,-74.0335519,0,0.0,0,yearly
jc,3185,City Hall,2019,20832,10183,10649,20832,40.7177325,-74.043845,0,0.0,0,yearly
jc,3185,City Hall,2020,19161,9281,9880,19161,40.7177325,-74.043845,0,0.0,0,yearly
jc,3186,Grove St PATH,2019,105356,46659,58697,105356,40.71958611647166,-74.04311746358871,0,0.0,0,yearly
jc,3186,Grove St PATH,2020,47165,21998,25167,47165,40.71958611647166,-74.04311746358871,0,0.0,0,yearly
jc,3187,Warren St,2019,20016,10020,9996,20016,40.7211236,-74.03805095,0,0.0,0,yearly
jc,3187,Warren St,2020,17710,8764,8946,17710,40.7211236,-74.03805095,0,0.0,0,yearly
jc,3192,Liberty Light Rail,2019,17701,8504,9197,17701,40.7112423,-74.0557013,0,0.0,0,yearly
jc,3192,Liberty Light Rail,2020,32820,16286,16534,32820,40.7112423,-74.0557013,0,0.0,0,yearly
jc,3194,McGinley Square,2019,12082,7192,4890,12082,40.7253399253558,-74.06762212514877,0,0.0,0,yearly
jc,3194,McGinley Square,2020,9675,5507,4168,9675,40.7253399253558,-74.06762212514877,0,0.0,0,yearly
jc,3195,Sip Ave,2019,37309,19083,18226,37309,40.73087135243592,-74.06389117240906,0,0.0,0,yearly
jc,3195,Sip Ave,2020,25107,13200,11907,25107,40.73089709786179,-74.06391263008118,0,0.0,0,yearly
jc,3196,Riverview Park,2019,4053,2169,1884,4053,40.7443187,-74.0439909,0,0.0,0,yearly
jc,3196,Riverview Park,2020,3560,1862,1698,3560,40.7443187,-74.0439909,0,0.0,0,yearly
jc,3198,Heights Elevator,2019,5125,2669,2456,5125,40.74871594538023,-74.04044330120087,0,0.0,0,yearly
jc,3198,Heights Elevator,2020,5852,3002,2850,5852,40.74871594538023,-74.04044330120087,0,0.0,0,yearly
jc,3199,Newport Pkwy,2019,22506,11171,11335,22506,40.7287448,-74.0321082,0,0.0,0,yearly
jc,3199,Newport Pkwy,2020,38234,19037,19197,38234,40.7287448,-74.0321082,0,0.0,0,yearly
jc,3201,Dey St,2019,2995,1199,1796,2995,40.737711,-74.066921,0,0.0,0,yearly
jc,3201,Dey St,2020,3129,1559,1570,3129,40.737711,-74.066921,0,0.0,0,yearly
jc,3202,Newport PATH,2019,35207,17367,17840,35207,40.7272235,-74.0337589,0,0.0,0,yearly
jc,3202,Newport PATH,2020,24531,12231,12300,24531,40.7272235,-74.0337589,0,0.0,0,yearly
jc,3203,Hamilton Park,2019,46160,24106,22054,46160,40.727595966,-74.044247311,0,0.0,0,yearly
jc,3203,Hamilton Park,2020,28501,14153,14348,28501,40.727595966,-74.044247311,0,0.0,0,yearly
jc,3205,JC Medical Center,2019,13743,6795,6948,13743,40.71653978099194,-74.0496379137039,0,0.0,0,yearly
jc,3205,JC Medical Center,2020,20793,10306,10487,20793,40.71653978099194,-74.0496379137039,0,0.0,0,yearly
jc,3206,Hilltop,2019,5119,2778,2341,5119,40.7311689,-74.0575736,0,0.0,0,yearly
jc,3206,Hilltop,2020,5618,3175,2443,5618,40.7311689,-74.0575736,0,0.0,0,yearly
