mode,start_station_id,start_station_name,station_lat,station_lng,exposure_trips,crash_count,risk_rate_per_100k_trips,risk_rate_ci_low,risk_rate_ci_high,risk_proxy_available,credibility_flag,exposure_pct,risk_pct,axa_priority_score,prevention_hotspot,product_hotspot,acquisition_hotspot,exposure_index_pct,eb_risk_rate_per_100k_trips,risk_index_pct,expected_incidents_proxy,scoring_strategy
jc,JC115,Grove St PATH,40.719398021881325,-74.04310199504242,191696,0,0.0,0.0,1.9243382512488187,False,credible,1.0,0.0,1.0,True,True,True,100.0,,,,exposure_only_no_risk_signal
jc,3186,Grove St PATH,40.71958611647166,-74.04311746358871,152521,0,0.0,0.0,2.4186042932540013,False,credible,0.9939393939393939,0.0,0.9939393939393939,True,True,True,99.39393939393939,,,,exposure_only_no_risk_signal
jc,HB102,Hoboken Terminal - River St & Hudson Pl,40.73607661607275,-74.02914031141226,121830,0,0.0,0.0,3.0278908759040757,False,credible,0.9878787878787879,0.0,0.9878787878787879,True,True,True,98.7878787878788,,,,exposure_only_no_risk_signal
jc,HB101,Hoboken Terminal - Hudson St & Hudson Pl,40.73593555297664,-74.03031622702115,107005,0,0.0,0.0,3.4473897987140187,False,credible,0.9818181818181819,0.0,0.9818181818181819,True,True,True,98.18181818181819,,,,exposure_only_no_risk_signal
jc,HB103,South Waterfront Walkway - Sinatra Dr & 1 St,40.73699364177384,-74.02778377108882,96084,0,0.0,0.0,3.839223444188351,False,credible,0.9757575757575758,0.0,0.9757575757575758,True,True,True,97.57575757575758,,,,exposure_only_no_risk_signal
jc,JC066,Newport PATH,40.72722349330869,-74.03376020896891,88022,0,0.0,0.0,4.1908607553951684,False,credible,0.9696969696969697,0.0,0.9696969696969697,True,True,True,96.96969696969697,,,,exposure_only_no_risk_signal
jc,JC009,Hamilton Park,40.72758773534647,-74.0442456604807,87747,0,0.0,0.0,4.203994956082755,False,credible,0.9636363636363636,0.0,0.9636363636363636,True,True,True,96.36363636363636,,,,exposure_only_no_risk_signal
jc,HB105,City Hall - Washington St & 1 St,40.73734371474922,-74.03098566038584,85411,0,0.0,0.0,4.31897466850164,False,credible,0.9575757575757575,0.0,0.9575757575757575,True,True,True,95.75757575757575,,,,exposure_only_no_risk_signal
jc,JC109,Bergen Ave & Sip Ave,40.73102072659904,-74.06442101921235,81374,0,0.0,0.0,4.533240905097371,False,credible,0.9515151515151515,0.0,0.9515151515151515,True,True,True,95.15151515151516,,,,exposure_only_no_risk_signal
jc,JC008,Newport Pkwy,40.728746495290174,-74.0321081725929,78787,0,0.0,0.0,4.68209153047322,False,credible,0.9454545454545454,0.0,0.9454545454545454,True,True,True,94.54545454545455,,,,exposure_only_no_risk_signal
jc,HB502,11 St & Washington St,40.74997487990786,-74.02717695679762,76245,0,0.0,0.0,4.838191952408598,False,credible,0.9393939393939393,0.0,0.9393939393939393,True,True,True,93.93939393939394,,,,exposure_only_no_risk_signal
jc,3203,Hamilton Park,40.727595966,-74.044247311,74661,0,0.0,0.0,4.940838528969523,False,credible,0.9333333333333332,0.0,0.9333333333333332,True,True,True,93.33333333333333,,,,exposure_only_no_risk_signal
jc,HB603,8 St & Washington St,40.74597217568292,-74.0281957345331,71016,0,0.0,0.0,5.194434288208201,False,credible,0.9272727272727272,0.0,0.9272727272727272,True,True,True,92.72727272727272,,,,exposure_only_no_risk_signal
jc,JC105,Hoboken Ave at Monmouth St,40.73521400042389,-74.04694281528727,70930,0,0.0,0.0,5.200732347545377,False,credible,0.9212121212121213,0.0,0.9212121212121213,True,True,True,92.12121212121212,,,,exposure_only_no_risk_signal
jc,JC116,Exchange Pl,40.716376522969625,-74.03435776586205,69926,0,0.0,0.0,5.2754046479334376,False,credible,0.9151515151515152,0.0,0.9151515151515152,True,True,True,91.51515151515152,,,,exposure_only_no_risk_signal
jc,JC013,Marin Light Rail,40.71459233962141,-74.04281343626674,68959,0,0.0,0.0,5.349380724943713,False,credible,0.9090909090909091,0.0,0.9090909090909091,True,True,True,90.9090909090909,,,,exposure_only_no_risk_signal
jc,HB501,Columbus Park - Clinton St & 9 St,40.74815738443504,-74.03245829992186,68348,0,0.0,0.0,5.397201752961221,False,credible,0.9030303030303031,0.0,0.9030303030303031,True,True,True,90.30303030303031,,,,exposure_only_no_risk_signal
jc,HB202,14 St Ferry - 14 St & Shipyard Ln,40.75292043241286,-74.02434452033502,68155,0,0.0,0.0,5.4124854436416046,False,credible,0.896969696969697,0.0,0.896969696969697,False,True,True,89.6969696969697,,,,exposure_only_no_risk_signal
jc,HB201,12 St & Sinatra Dr N,40.75059467623016,-74.02404989538064,66499,0,0.0,0.0,5.547270566646017,False,credible,0.890909090909091,0.0,0.890909090909091,False,True,True,89.0909090909091,,,,exposure_only_no_risk_signal
jc,3195,Sip Ave,40.73088422514886,-74.06390190124512,62416,0,0.0,0.0,5.9101503686778,False,credible,0.8848484848484849,0.0,0.8848484848484849,False,True,True,88.48484848484848,,,,exposure_only_no_risk_signal
jc,JC052,Liberty Light Rail,40.71125600011699,-74.05569111599195,61114,0,0.0,0.0,6.03606285648777,False,credible,0.8787878787878788,0.0,0.8787878787878788,False,True,True,87.87878787878788,,,,exposure_only_no_risk_signal
jc,3199,Newport Pkwy,40.7287448,-74.0321082,60740,0,0.0,0.0,6.073229262617608,False,credible,0.8727272727272727,0.0,0.8727272727272727,False,True,True,87.27272727272727,,,,exposure_only_no_risk_signal
jc,3639,Harborside,40.7192517,-74.034234,60297,0,0.0,0.0,6.117849070623639,False,credible,0.8666666666666667,0.0,0.8666666666666667,False,True,True,86.66666666666667,,,,exposure_only_no_risk_signal
jc,3202,Newport PATH,40.7272235,-74.0337589,59738,0,0.0,0.0,6.1750970138168935,False,credible,0.8606060606060606,0.0,0.8606060606060606,False,True,True,86.06060606060606,,,,exposure_only_no_risk_signal
jc,HB303,Clinton St & 7 St,40.745408725961646,-74.03333236797171,59638,0,0.0,0.0,6.1854513131123365,False,credible,0.8545454545454545,0.0,0.8545454545454545,False,True,True,85.45454545454545,,,,exposure_only_no_risk_signal
